Organization,Program,Scrum Team,Jira Project Name,Epic Fields,Initiative Fields,All other issue type other than Epic and Initiative
HPPS,Cloud & Connectivity,Gen 2,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Cloud & Connectivity,Print Cloud Security,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Cloud & Connectivity,Print Services,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,AIP,Simpsons,"Channel Enabler Smooth Transition,Subscription State Service,Fulfillment Registry Service
",,,
HPPS,AIP,Thundercats,Thundercats Team,,,
HPPS,AIP,Rabbit Rangers,HPOne Biz Ops Tooling,,,
HPPS,AIP,Mercury,Communication Services,,,
HPPS,AIP,OBC,On-Books Domain Controller,,,
HPPS,AIP,Super Sayans,Magento PIM Catalog,,,
HPPS,AIP,OPSSVC_Scrum,Order Processing Service,,,
HPPS,AIP,CommerceBL,Stratus Commerce BL Services,,,
HPPS,AIP,Genesis,LTO-AIC_Commerce_Report_Data/Genesis,,,
HPPS,AIP,StoreFront,Magento FE team,,,
HPPS,HPID - MyCredentials|MyAccount,myCredentials,myCredentials,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPID - MyCredentials|MyAccount,myAccount,myAccount,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPID - MyIdentity,myIdentity,myIdentity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,Sage,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,Pepto,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,Enterprise,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,Privacy Engineering,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,DPF,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,EUDA,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Platform Engineering,Data Quality,HPPS Data Platform Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,China Solutions,WeChat App,HPPS China Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,China Solutions,China Services,HPPS China Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,China Solutions,HarmonyOS App,HPPS China Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,China Solutions,China App Android,HPPS China Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,China Solutions,China App iOS,HPPS China Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,SUPD,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,UPD,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,IO,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,Sierra Cloud Rendering,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,Imaging (SDK),HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,Shortcuts & Cloud Services,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,HP Linux Driver,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,USS,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,Karnak Lite,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,OEM,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,Universal Fax Driver,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,SmartDriver,HP POTG Smart Driver,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Core Print & Imaging,OPTI (Optimus) ,HPPS Core Print & Imaging,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,CSDP,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
